index,geometry,인구수,건물수,공시지가,교통혼잡도,주차구획수,불법주정차,행정동명
1805,"POLYGON ((14154760.15896217 4275440.16761297, 14154860.15896217 4275440.16761297, 14154860.15896217 4275340.16761297, 14154760.15896217 4275340.16761297, 14154760.15896217 4275440.16761297))",54.0,37.0,2681950.21,0.7358844544913219,,,풍남동
1806,"POLYGON ((14154760.15896217 4275340.16761297, 14154860.15896217 4275340.16761297, 14154860.15896217 4275240.16761297, 14154760.15896217 4275240.16761297, 14154760.15896217 4275340.16761297))",54.0,37.0,2520545.19,0.7358844544913219,,,풍남동
1807,"POLYGON ((14149560.15896217 4274240.16761297, 14149660.15896217 4274240.16761297, 14149660.15896217 4274140.16761297, 14149560.15896217 4274140.16761297, 14149560.15896217 4274240.16761297))",192.0,17.0,800256.9,0.7941354004983896,,,효자3동
1808,"POLYGON ((14149560.15896217 4274140.16761297, 14149660.15896217 4274140.16761297, 14149660.15896217 4274040.16761297, 14149560.15896217 4274040.16761297, 14149560.15896217 4274140.16761297))",192.0,17.0,800256.9,0.7941354004983896,,,효자3동
1809,"POLYGON ((14154760.15896217 4274840.16761297, 14154860.15896217 4274840.16761297, 14154860.15896217 4274740.16761297, 14154760.15896217 4274740.16761297, 14154760.15896217 4274840.16761297))",49.0,35.0,1534167.73,0.7358844544913219,,,풍남동
1810,"POLYGON ((14154760.15896217 4274740.16761297, 14154860.15896217 4274740.16761297, 14154860.15896217 4274640.16761297, 14154760.15896217 4274640.16761297, 14154760.15896217 4274740.16761297))",49.0,35.0,1534167.73,0.7358844544913219,,,동서학동
1811,"POLYGON ((14150960.15896217 4272640.16761297, 14151060.15896217 4272640.16761297, 14151060.15896217 4272540.16761297, 14150960.15896217 4272540.16761297, 14150960.15896217 4272640.16761297))",184.0,30.0,591771.23,0.6865452022538683,,,삼천2동
1812,"POLYGON ((14150960.15896217 4272540.16761297, 14151060.15896217 4272540.16761297, 14151060.15896217 4272440.16761297, 14150960.15896217 4272440.16761297, 14150960.15896217 4272540.16761297))",152.0,27.0,455729.94,0.6865452022538683,,,삼천2동
1813,"POLYGON ((14150960.15896217 4272440.16761297, 14151060.15896217 4272440.16761297, 14151060.15896217 4272340.16761297, 14150960.15896217 4272340.16761297, 14150960.15896217 4272440.16761297))",182.0,32.0,455729.94,0.6865452022538683,,,삼천2동
1814,"POLYGON ((14150960.15896217 4272340.16761297, 14151060.15896217 4272340.16761297, 14151060.15896217 4272240.16761297, 14150960.15896217 4272240.16761297, 14150960.15896217 4272340.16761297))",182.0,32.0,577741.6,0.6865452022538683,,,삼천2동
1815,"POLYGON ((14150960.15896217 4273040.16761297, 14151060.15896217 4273040.16761297, 14151060.15896217 4272940.16761297, 14150960.15896217 4272940.16761297, 14150960.15896217 4273040.16761297))",51.0,13.0,678137.93,0.6865452022538683,,,삼천1동
1816,"POLYGON ((14150960.15896217 4272940.16761297, 14151060.15896217 4272940.16761297, 14151060.15896217 4272840.16761297, 14150960.15896217 4272840.16761297, 14150960.15896217 4272940.16761297))",122.0,16.0,678137.93,0.6865452022538683,,,삼천2동
1817,"POLYGON ((14150960.15896217 4272840.16761297, 14151060.15896217 4272840.16761297, 14151060.15896217 4272740.16761297, 14150960.15896217 4272740.16761297, 14150960.15896217 4272840.16761297))",184.0,30.0,591771.23,0.6865452022538683,,,삼천2동
